annual_inc,emp_title,verification_status,address,application_type,dti,loan_amnt,installment,loan_status,pan_match,aadhaar_name_match,address_match,employer_match,salary_itr_match,bank_salary_match,metadata_suspicious,edited_in_photoshop,ocr_confidence,income_difference_pct,is_document_fraud
75000.0,Senior Research Manager,Source Verified,"0464 Jamie Springs
South James, NH 93700",INDIVIDUAL,25.97,5000.0,169.27,Charged Off,1,1,1,1,1,1,0,0,94.54,37.72,0
140000.0,Director of IT,Verified,"3201 Brooks Drive Suite 271
Ryanside, FL 00813",INDIVIDUAL,8.0,30000.0,956.37,Fully Paid,1,1,1,1,0,1,0,0,74.36,40.72,0
70000.0,HVAC Technican,Not Verified,"1024 David Parkways
North Isabelside, SC 93700",INDIVIDUAL,14.42,6000.0,197.69,Charged Off,1,1,1,1,1,1,0,0,98.39,12.16,0
61000.0,NYS Court Administration,Not Verified,"8971 Pittman Cliffs Suite 777
North Lee, MT 05113",INDIVIDUAL,16.51,2500.0,79.39,Fully Paid,1,1,1,1,1,1,0,0,95.3,26.84,0
28000.0,Cook,Source Verified,"34397 Timothy Loop
Port Lauren, MT 70466",INDIVIDUAL,12.99,10000.0,318.79,Fully Paid,1,1,1,1,1,1,0,0,97.57,30.83,0
33000.0,USAFR,Not Verified,"88703 Jones Spur Suite 917
Lake Olivia, WV 05113",INDIVIDUAL,19.2,11100.0,389.15,Fully Paid,1,1,1,1,1,1,0,0,78.57,38.2,1
63000.0,Kurt S Adler Inc.,Not Verified,"971 Justin Square
Malikstad, NC 30723",INDIVIDUAL,10.86,4000.0,153.18,Fully Paid,0,0,1,1,1,0,0,1,80.07,26.88,1
55000.0,Therapist,Not Verified,"88358 Michael Divide Suite 006
North Tonyamouth, VA 70466",INDIVIDUAL,17.22,3500.0,112.92,Fully Paid,1,1,1,1,1,1,0,0,84.1,3.08,0
54000.0,Field Project Supervisor,Source Verified,"USNV Morgan
FPO AP 70466",INDIVIDUAL,24.49,14125.0,503.53,Fully Paid,1,1,1,1,1,1,0,0,76.73,16.83,0
75000.0,Rapid7,Verified,"247 Richard Burgs
Susanton, OK 70466",INDIVIDUAL,33.19,4800.0,167.13,Fully Paid,1,1,1,1,1,1,0,0,83.96,0.11,0
30000.0,nurse,Verified,"25005 Eric Isle
South Darrellport, DC 48052",INDIVIDUAL,20.76,5000.0,164.96,Fully Paid,0,1,1,1,1,1,0,0,70.28,15.42,0
33600.0,Accounts Manager,Source Verified,"92211 Kim Spring Suite 348
Lindseyburgh, NH 30723",INDIVIDUAL,32.29,8000.0,274.63,Charged Off,1,1,0,1,1,1,0,0,96.33,20.71,0
47000.0,RN,Not Verified,"Unit 7062 Box 4332
DPO AE 70466",INDIVIDUAL,26.84,1800.0,60.65,Charged Off,1,1,1,1,1,1,0,0,74.87,7.27,0
50000.0,residential manager,Verified,"41955 Clark Green
New Stephenfurt, DE 29597",INDIVIDUAL,16.03,7000.0,225.09,Fully Paid,1,1,1,1,1,1,0,0,85.03,16.71,0
80000.0,Temple University,Not Verified,"4572 Wayne Lock Suite 182
Taylorbury, KY 30723",INDIVIDUAL,0.22,7000.0,236.61,Fully Paid,1,1,1,1,1,0,0,0,97.86,33.97,0
42000.0,lpn,Source Verified,"39761 Stone Course Apt. 824
New Kendra, GA 05113",INDIVIDUAL,4.74,4000.0,134.76,Fully Paid,1,0,1,1,1,1,0,0,94.63,8.07,0
38004.0,Bloemhof Ag. Enterprises,Source Verified,"PSC 8796, Box 2505
APO AE 48052",INDIVIDUAL,15.31,1500.0,51.53,Fully Paid,1,0,1,0,1,1,0,0,93.28,32.38,0
60000.0,Hospice of the Valley,Verified,"31570 Taylor Flats Suite 858
Taylortown, CT 22690",INDIVIDUAL,10.82,7000.0,238.16,Fully Paid,1,1,1,0,1,1,0,0,88.16,26.41,0
32000.0,Road Maintenance,Not Verified,"923 Williams Mill Apt. 972
East Emily, OK 00813",INDIVIDUAL,25.88,3600.0,127.0,Fully Paid,1,1,1,1,0,1,0,0,83.09,44.64,0
65000.0,Document Management Specialist,Verified,"56322 Kimberly Groves Apt. 069
Johnside, FL 11650",INDIVIDUAL,19.61,7000.0,251.56,Charged Off,1,1,1,1,1,1,0,0,83.38,20.03,0
60000.0,Social Services Supervisor ,Verified,"209 Khan Summit Apt. 249
Mercadoburgh, KS 29597",INDIVIDUAL,15.29,15000.0,568.91,Fully Paid,1,1,1,1,1,1,0,0,72.61,16.95,0
56160.0,lead machinist,Not Verified,"97398 Navarro Mews
North Stephanie, MN 11650",INDIVIDUAL,13.95,6000.0,203.18,Charged Off,1,0,1,1,1,1,0,0,71.94,31.7,0
95000.0,Network Administrator,Verified,"05458 Duncan Knoll
New Veronica, MD 00813",INDIVIDUAL,28.14,15950.0,371.05,Fully Paid,1,1,1,1,1,1,0,0,95.3,40.08,0
190000.0,CFO,Verified,"PSC 7087, Box 6054
APO AE 05113",INDIVIDUAL,29.03,35000.0,779.45,Fully Paid,1,0,1,1,1,1,0,0,82.26,17.9,1
45000.0,C.H. Robinson,Not Verified,"43252 Brown Union Suite 887
Gabrielfort, OK 29597",INDIVIDUAL,17.97,14000.0,438.13,Fully Paid,1,1,1,1,1,1,0,0,71.62,11.25,0
40000.0,costodian,Not Verified,"571 Sarah Ferry Apt. 612
Webbview, SC 48052",INDIVIDUAL,16.5,6475.0,200.7,Fully Paid,1,1,1,1,1,1,1,0,89.89,2.72,0
30000.0,Contemporary Marketing Group,Source Verified,"8676 Vaughan Squares
South Carlosfort, WY 22690",INDIVIDUAL,16.84,10000.0,330.0,Fully Paid,1,1,1,1,1,1,0,0,90.5,16.78,0
60000.0,Medical legal reproductions inc,Not Verified,"4370 Nicole Forest Suite 202
Lake Christinehaven, HI 00813",INDIVIDUAL,3.88,12000.0,399.26,Fully Paid,1,1,0,1,1,1,0,0,76.82,38.3,0
200000.0,DIRECTOR OF PHARMACY,Source Verified,"6623 Jessica Drives Suite 003
Monicaland, NE 30723",INDIVIDUAL,13.69,24000.0,770.7,Fully Paid,1,1,1,1,1,0,0,0,82.32,3.14,0
87000.0,Engineer,Not Verified,"55159 Swanson Grove Apt. 201
East Aprilhaven, NJ 05113",INDIVIDUAL,20.08,24000.0,587.34,Fully Paid,0,1,1,1,1,1,0,0,87.2,4.5,0
86000.0,Branch Manager,Verified,"392 Jessica Route
Ronaldbury, HI 48052",INDIVIDUAL,19.33,6000.0,199.26,Fully Paid,1,0,1,1,1,1,0,0,87.89,46.83,0
75000.0,Centre Area Transportation Authority,Source Verified,"31679 Flores Landing
Jenkinsburgh, NY 00813",INDIVIDUAL,21.68,16000.0,590.72,Fully Paid,1,1,1,0,1,1,0,0,85.33,13.93,0
75000.0,Clinton Memorial Hospital,Verified,"68555 Brittany Circle Apt. 101
Shellyburgh, SD 30723",INDIVIDUAL,34.82,3600.0,134.36,Charged Off,0,1,1,1,0,1,0,0,80.93,4.07,0
50000.0,menasha packing company,Not Verified,"561 Colleen Throughway
Lake Christineport, MO 05113",INDIVIDUAL,10.63,6000.0,217.67,Fully Paid,1,1,1,1,1,1,0,0,72.06,35.49,0
50000.0,Jail administrator,Not Verified,"232 Freeman Roads Apt. 457
Port Johnbury, NC 70466",INDIVIDUAL,27.27,12000.0,417.81,Charged Off,1,1,0,1,1,1,0,1,70.67,25.63,0
